IID	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
JSB81-13	-0.008860077125716419	0.004406055472280681	-0.028178353173305377	0.025636516334794246	-5.975399592674193e-4	0.0029946528081457	8.29654439646572e-4	5.574148089487566e-4	-0.0047243395073934364	-0.0018979479842699313
JSB81-14	-0.0072028582500047395	0.021723116693212936	4.585746359978521e-4	-0.01401454170204272	-0.024539525287443235	0.0040315953503501974	0.017673624879971976	-0.0017373488409168666	-0.005701508663516497	3.270343404924385e-4
JSB81-15	-0.006014004219161001	0.017320689401985095	0.011566444971032059	-0.007247981767400259	-0.016984886582605795	0.004415840009113754	0.011903296924857955	-0.0032979406155306413	-0.009399626835551267	0.015922059408923436
JSB81-16	-0.008981516800341907	0.023494466866914913	0.0030547506662363224	-0.017557280034609206	0.005900494282979848	0.001864024214248609	-0.004658061960072914	0.0011303876243933073	-0.002353308792016176	0.002336965911865729
JSB81-2	-0.008852981125726427	0.024177172767642516	0.0037610721924448785	-0.016762735879194208	0.0023313235891664675	0.0021213592918591685	-0.004123754491708454	0.0015876004555950077	-0.00409127700892123	4.6550061415576535e-4
JSB81-3	-0.008439725662894589	0.023715956872548856	0.0033874496631300342	-0.016367183432198538	0.00458250335083138	-0.0013797910385922568	-0.006043163600478849	3.9577437103566876e-4	-0.005036183176361291	0.0027510632152607105
JSB81-4	-0.008753608280338112	0.02370930837323737	0.004596873306955393	-0.016510062314385236	0.005827695370305885	-0.001047836269145496	-0.005366501349867116	-0.001750715965416046	-8.124784374281462e-4	0.003107165184116715
JSB81-5	-0.008955685629646628	0.02461540385083077	0.0034476795973558743	-0.016862885676519737	0.008689162456510689	-0.0030148693211469366	-0.007041290721339877	1.635260143287548e-4	-0.0012140354570247883	-0.003205882700312012
JSB81-6	-0.009050284540082325	0.023638454366289294	0.005059051892151064	-0.017486588259042733	0.016823976166744484	-0.0047162169966894815	-0.012290876003531181	0.0011633171754050582	-0.0031856173681148255	0.0011090099948379342
JSB81-7	-0.008852115759873989	0.02368689343270152	0.004050339990991107	-0.01711578354098678	0.009699500366460582	-0.0010205598730194058	-0.008028101251017612	-0.0013582667952395401	-0.0011064088532280487	0.0011846162254723572
JSB81-8	-0.008525180540822856	0.024169194568468735	0.004880626866291845	-0.015949574852159913	0.008540322611400957	-0.0033483482772815793	-0.007942603365541829	0.002400056340895002	-4.280980512430166e-4	5.624124103883986e-4
JSB81-9	-0.007430478314724387	0.021690823982271453	9.200639412923008e-4	-0.013068408361052879	-0.0236933031801248	0.0035245648302456418	0.013388623133256162	-5.448801281309633e-4	-8.983209469017499e-4	0.003435306839856799
JSB82-1	-0.007942486444083628	0.02409036236234688	0.0024740225026009294	-0.016945315800858216	-0.015522955467981962	0.005373954982122865	0.010574778240368487	-0.005922367971757463	-0.0045972367250688975	-0.0017874938914302038
JSB82-2	-0.00830021426471735	0.021115443856143484	0.0012789490098619666	-0.011411731086592972	0.007244485480958154	-5.604845888240595e-4	-0.0056772825267705825	-0.0015284146246217379	-0.0010492646189732481	0.0011442390243833868
JSB82-3	-0.008947060816650662	0.024206616121736222	0.003101057146457475	-0.016609389679631194	0.007617528393267698	5.531479208773574e-4	-0.007700619128194227	0.0016999689179161674	-0.0012861189617620467	7.793774440585375e-4
JSB82-4	-0.008768607955113706	0.023725264771584927	0.003305097126360207	-0.015082095924597812	0.008210121982836388	0.0017565176231407384	-0.006279791821798965	0.00287689334580542	-0.004279509664539874	8.861670230395002e-4
JSB82-5	-0.009141696019628208	0.024594698524403585	0.0034964215332280116	-0.017048045044251482	0.0069773119145425605	-0.0021162630848352675	-0.002575676935037611	0.002084733992572187	0.0011501037978713703	-0.0023173647432663453
JSB82-6	-0.008815611743665306	0.023936497092566872	0.0038775604957514216	-0.015692976043334823	0.010526123823241558	-0.0017478961499736987	-0.006495997280065425	0.001196820746647655	-0.0010240186509571068	0.003388613840688667
JSB82-7	-0.008929566003667204	0.02393288790722635	0.005901220640034773	-0.01661589436971505	0.012254559952183212	-1.3862150646939449e-4	-0.005042826060304889	8.364458144696079e-4	0.001010387598029104	0.004245987048612112
JSB82-8	-0.008778617353473576	0.023733812842128263	0.00437302145332039	-0.018145244204947352	0.010777426146020974	-0.003457304248368725	-0.0104294006624796	-0.00456445565116247	1.0141544036018043e-4	0.002592239469446504
JSB84-2	-0.008486686183153565	0.008529055835303096	0.026515645937295353	0.012166424669425281	-0.011202277266783987	0.003163856232177788	0.008453077979519436	7.67639999029991e-4	0.0022741819587636146	-0.001651540186024878
JSB84-3	-0.004219826774536775	0.01682125413370657	0.009005606023729578	-0.007056429859413696	-0.011676399761328093	0.004582284935765933	0.0077369776920210185	0.0013340710420827705	-0.003411398498331179	0.009453601397581193
JSB84-6	-0.009074846507527361	0.024532772502245212	0.004039442803981309	-0.015382881766061491	0.008542987661544136	-1.4644909344133485e-4	-0.008241945150189061	0.003501340453504467	-0.003919809627629334	-0.0014036728546102705
JSB84-7	-0.009156940881395327	0.024141270871360514	0.004161215586530555	-0.016972044843444164	0.009466697704468865	-0.0018167276727313777	-0.008346647234225476	0.002949915122581947	8.789703285597075e-4	8.183325049765128e-4
JSB84-8	-0.009308365482807796	0.02416501551175866	0.005878047706212734	-0.016388342366609233	0.008351955768291373	-5.552986137498294e-4	-0.006687736986107569	-6.029522226404007e-4	-8.144192391565565e-4	-3.6354438179497073e-4
JSB84-9	-0.007795936736973225	0.02414241061409963	0.004614794584387169	-0.017546663184127512	-0.0056408396381022255	0.0011657316419112639	0.0037739131273735035	-4.355006874899451e-4	-7.390006167233423e-4	-0.005457013587098839
JSB86-5	-0.007003131811262014	0.021361058416421948	1.8571859189972278e-4	-0.014163551441549831	-0.01893650921322873	0.00396957123807582	0.01388228344647729	4.397075010940923e-4	-0.0049763806536023275	2.6058336337612763e-4
JSB86-6	-0.008547997353798808	0.024265312872800447	0.004888963870811389	-0.018675339063505016	-0.006299958740523307	-0.0020549215837769364	0.00302496827598167	-5.410472281034825e-4	-0.005060278773913642	0.005664978970373901
JSB86-7	0.014475839979585384	0.006079615718966916	0.0032474076809131565	-0.005035975922850501	0.0060037810029618536	0.006290150145795924	-0.002557908564406747	-0.00286974667958473	-0.0018575373880841924	8.453435184193436e-4
